,Class,x1,y1,x2,y2,Frame
0,keyboard,306,463,387,524,frame2394.jpg
1,cup,652,234,678,283,frame2394.jpg
2,cell phone,652,232,680,283,frame2394.jpg
5,cell phone,370,534,417,568,frame2394.jpg
6,keyboard,622,563,804,697,frame2394.jpg
7,cell phone,342,302,378,330,frame2394.jpg
10,laptop,192,383,463,538,frame2394.jpg
12,laptop,728,371,874,490,frame2394.jpg
16,laptop,550,377,718,466,frame2394.jpg
17,laptop,586,424,808,698,frame2394.jpg
0,keyboard,300,463,391,524,frame2395.jpg
2,tie,874,498,940,692,frame2395.jpg
4,mouse,370,534,416,568,frame2395.jpg
5,keyboard,618,563,806,698,frame2395.jpg
6,cell phone,370,534,416,568,frame2395.jpg
7,cell phone,342,302,381,330,frame2395.jpg
10,laptop,195,383,463,538,frame2395.jpg
12,laptop,728,371,883,490,frame2395.jpg
16,laptop,550,377,718,466,frame2395.jpg
17,laptop,586,424,808,699,frame2395.jpg
0,cell phone,612,228,680,284,frame2396.jpg
3,keyboard,618,562,806,698,frame2396.jpg
4,mouse,370,535,416,567,frame2396.jpg
6,cell phone,370,534,417,568,frame2396.jpg
7,cell phone,341,302,377,330,frame2396.jpg
10,laptop,236,382,462,538,frame2396.jpg
15,laptop,728,370,890,490,frame2396.jpg
16,laptop,550,377,718,467,frame2396.jpg
18,laptop,586,424,808,698,frame2396.jpg
1,cell phone,612,227,682,283,frame2397.jpg
4,keyboard,620,564,806,698,frame2397.jpg
5,mouse,370,536,417,568,frame2397.jpg
6,cell phone,370,534,417,568,frame2397.jpg
7,cell phone,342,302,378,330,frame2397.jpg
10,laptop,198,384,462,537,frame2397.jpg
15,laptop,550,378,718,467,frame2397.jpg
16,laptop,728,370,892,490,frame2397.jpg
18,laptop,587,424,808,700,frame2397.jpg
0,cell phone,611,226,682,283,frame2398.jpg
4,keyboard,637,566,723,672,frame2398.jpg
5,cell phone,370,534,417,568,frame2398.jpg
6,cell phone,342,302,376,329,frame2398.jpg
9,laptop,195,384,462,537,frame2398.jpg
15,laptop,728,370,895,491,frame2398.jpg
16,laptop,550,377,718,467,frame2398.jpg
17,laptop,587,423,809,700,frame2398.jpg
0,keyboard,290,462,394,526,frame2399.jpg
3,keyboard,638,566,722,672,frame2399.jpg
4,cell phone,370,534,417,568,frame2399.jpg
5,cell phone,343,302,378,330,frame2399.jpg
7,laptop,240,382,462,538,frame2399.jpg
10,laptop,728,370,894,490,frame2399.jpg
15,laptop,550,378,718,466,frame2399.jpg
16,laptop,586,424,810,700,frame2399.jpg
0,cup,650,230,679,282,frame2400.jpg
2,tie,882,494,936,630,frame2400.jpg
3,mouse,370,535,416,567,frame2400.jpg
4,keyboard,636,565,722,671,frame2400.jpg
6,cell phone,370,534,416,568,frame2400.jpg
